FirstName,LastName,Admission No,Class,Stream,Gender,Date of Birth,Admission Date,Status,Guardian Name,Relationship,Guardian Phone,Alternative Phone,Guardian Email,Home Address,Emergency Contact,Emergency Phone
Gideon,Waweru,ADM-1001,Grade 1,A,Male,2020-03-22,2026-04-21,Active,Nathaniel Waweru,Father,0772 909 154,,,"Langas, Nakuru",Simon Wanjiku,0782 109 389
George,Ndolo,ADM-1002,Grade 1,A,Male,2019-08-19,2026-01-17,Active,Vincent Ndolo,Father,0792 239 715,,vincent.ndolo@icloud.com,"Lanet, Kisumu",Sophia Sein,0792 792 512
John,Njuguna,ADM-1003,Grade 1,A,Male,2020-12-19,2026-02-21,Active,Samuel Njuguna,Uncle,0751 492 293,,samuel.njuguna@yahoo.com,"South C, Nakuru",Lawrence Maina,0740 511 753
Samuel,Hassan,ADM-1004,Grade 1,A,Male,2020-11-13,2026-11-20,Active,Catherine Hassan,Mother,0733 723 103,0722 217 412,,"Sekei, Kilifi",Samuel Githinji,0772 753 389
Alice,Farah,ADM-1005,Grade 1,A,Female,2019-01-09,2026-01-07,Active,Kiplangat Farah,Father,0701 198 841,,kiplangat.farah@gmail.com,"Kiamunyi, Nakuru",Nicholas Mpaine,0762 230 474
Anthony,Omar,ADM-1006,Grade 1,A,Male,2019-02-21,2026-07-08,Active,Caleb Omar,Father,0751 125 171,,caleb.omar@icloud.com,"Kiamunyi, Mombasa",Priscilla Natepo,0772 415 236
Abigail,Mutuku,ADM-1007,Grade 1,A,Female,2020-07-26,2026-03-21,Active,Joshua Mutuku,Father,0772 294 268,,joshua.mutuku@icloud.com,"Section 58, Arusha",Joshua Makokha,0740 550 883
Eric,Odera,ADM-1008,Grade 1,A,Male,2020-11-05,2026-07-11,Active,Thomas Odera,Father,0701 209 964,0772 412 893,,"Milimani Kisumu, Uasin Gishu",Caleb Baariu,0762 763 572
Dorcas,Bakari,ADM-1009,Grade 1,A,Female,2020-07-07,2026-11-09,Active,Damaris Bakari,Mother,0711 240 383,0762 570 499,,"Lanet, Uasin Gishu",Hillary Kioko,0733 401 276
Kevin,Pashua,ADM-1010,Grade 1,A,Male,2020-03-16,2026-01-02,Active,Frank Pashua,Father,0792 778 743,,frank.pashua@outlook.com,"Kahawa Wendani, Kakamega",Gloria Baariu,0792 620 869
Winfred,Bakari,ADM-1011,Grade 1,A,Female,2020-03-23,2026-08-16,Active,Julius Bakari,Father,0762 885 820,,julius.bakari@protonmail.com,"Huruma, Mombasa",Hillary Kilonzo,0712 296 747
Diana,Khaemba,ADM-1012,Grade 1,A,Female,2020-12-04,2026-06-12,Active,Irene Khaemba,Guardian,0751 167 188,,irene.khaemba@yahoo.com,"Thika Road, Nairobi",Michael Kioko,0772 675 917
Purity,Nzioka,ADM-1013,Grade 1,A,Female,2020-01-17,2026-05-23,Active,Peter Nzioka,Father,0711 495 485,0733 333 150,,"Milimani Kisumu, Arusha",David Mganga,0792 212 895
Eric,Mutoro,ADM-1014,Grade 1,A,Male,2019-08-14,2026-12-12,Active,Anthony Mutoro,Father,0733 394 331,0792 398 915,anthony.mutoro@icloud.com,"Njiro, Garissa",Dennis Mugo,0711 384 342
Yvonne,Kariuki,ADM-1015,Grade 1,A,Female,2019-05-02,2026-08-02,Active,Frank Kariuki,Father,0701 994 761,,frank.kariuki@protonmail.com,"Bahati, Nakuru",Felix Achieng,0740 813 486
John,Lugalia,ADM-1016,Grade 1,A,Male,2019-08-08,2026-04-02,Active,James Lugalia,Father,0733 680 529,0701 183 796,james.lugalia@gmail.com,"Bahati, Nairobi",Stephen Maundu,0772 282 921
Fridah,Oluoch,ADM-1017,Grade 1,A,Female,2020-04-24,2026-06-07,Active,Dennis Oluoch,Father,0772 342 358,0792 695 294,dennis.oluoch@gmail.com,"Njiro, Kakamega",Ibrahim Chepkirui,0751 647 676
Charity,Sichangi,ADM-1018,Grade 1,A,Female,2019-10-06,2026-06-10,Active,Moses Sichangi,Father,0733 409 398,0792 675 619,moses.sichangi@gmail.com,"Umoja, Arusha",Trevor Achieng,0701 589 502
Stephen,Kinyua,ADM-1019,Grade 1,A,Male,2019-01-27,2026-10-10,Active,Amos Kinyua,Father,0740 694 528,0712 804 593,amos.kinyua@gmail.com,"Naka, Kisumu",Samuel Mwinyi,0782 104 844
James,Mganga,ADM-1020,Grade 1,A,Male,2019-05-22,2026-07-12,Active,Alex Mganga,Father,0722 168 862,,alex.mganga@yahoo.com,"Kaptembwo, Nakuru",Agnes Nthiga,0751 948 788
Brenda,Oduor,ADM-1021,Grade 1,A,Female,2020-07-08,2026-12-11,Active,Ian Oduor,Father,0762 978 969,,ian.oduor@yahoo.com,"Huruma, Nakuru",Yvonne Yusuf,0762 487 777
Kiplangat,Wafula,ADM-1022,Grade 1,A,Male,2019-11-01,2026-11-08,Active,Caleb Wafula,Grandfather,0722 270 990,0701 897 350,caleb.wafula@protonmail.com,"Sakina, Nakuru",Irene Owuor,0792 597 870
Karen,Makokha,ADM-1023,Grade 1,A,Female,2020-05-19,2026-09-03,Active,Kennedy Makokha,Father,0733 925 688,,,"Section 58, Arusha",Edna Adan,0722 993 722
Tabitha,Ndungu,ADM-1024,Grade 1,A,Female,2020-05-20,2026-03-03,Active,Catherine Ndungu,Mother,0792 329 588,0772 889 514,catherine.ndungu@outlook.com,"Annex, Kakamega",Daniel Nthiga,0711 758 897
Mark,Kioko,ADM-1025,Grade 1,A,Male,2020-04-05,2026-08-06,Active,Mark Kioko,Father,0792 101 330,0722 692 268,mark.kioko@gmail.com,"Ruiru, Kilifi",Michael Kiprop,0701 676 184
Eric,Obiero,ADM-1026,Grade 1,A,Male,2019-05-10,2026-11-09,Active,Beatrice Obiero,Mother,0762 555 979,0733 672 111,,"Bahati, Makueni",Hellen Maina,0782 481 829
Michael,Ndolo,ADM-1027,Grade 1,A,Male,2020-03-12,2026-05-08,Active,Patrick Ndolo,Father,0701 829 788,0701 250 949,patrick.ndolo@protonmail.com,"Shabab, Nakuru",Susan Mbithi,0712 905 156
Lawrence,Chemtai,ADM-1028,Grade 1,A,Male,2019-05-02,2026-03-19,Active,Brenda Chemtai,Mother,0712 536 181,,brenda.chemtai@icloud.com,"Section 58, Garissa",Patrick Khaemba,0762 712 139
Emmanuel,Njenga,ADM-1029,Grade 1,A,Male,2020-11-17,2026-11-14,Active,Frank Njenga,Father,0740 611 600,,frank.njenga@outlook.com,"Lanet, Bungoma",Peninah Salim,0772 799 866
Yvonne,Karanja,ADM-1030,Grade 1,A,Female,2019-01-23,2026-11-04,Active,Rebecca Karanja,Grandmother,0782 659 260,,rebecca.karanja@protonmail.com,"Sekei, Nakuru",Agnes Nzomo,0740 314 386
Yvonne,Njeri,ADM-1031,Grade 1,A,Female,2020-06-14,2026-10-05,Active,Donald Njeri,Uncle,0792 393 863,0701 870 195,donald.njeri@icloud.com,"Annex, Bungoma",Mark Chepkoech,0733 823 229
Esther,Mutiso,ADM-1032,Grade 1,A,Female,2019-03-20,2026-06-17,Active,Lawrence Mutiso,Father,0751 118 287,,,"Kimandolu, Garissa",Janet Lugalia,0701 715 407
Daniel,Noor,ADM-1033,Grade 1,A,Male,2019-02-02,2026-11-27,Active,Emily Noor,Guardian,0782 161 426,0762 974 985,emily.noor@protonmail.com,"Embakasi, Uasin Gishu",Purity Abdi,0722 202 146
Alice,Metto,ADM-1034,Grade 1,A,Female,2020-07-09,2026-09-13,Active,Harrison Metto,Father,0740 840 663,0751 668 727,harrison.metto@outlook.com,"South C, Machakos",Veronica Ndolo,0751 393 466
Maureen,Muthoka,ADM-1035,Grade 1,B,Female,2019-05-11,2026-01-28,Active,Zipporah Muthoka,Mother,0701 689 208,,zipporah.muthoka@icloud.com,"Embakasi, Garissa",Rebecca Kitonga,0712 389 484
Alice,Abdi,ADM-1036,Grade 1,B,Female,2019-05-28,2026-05-04,Active,Andrew Abdi,Father,0751 158 280,,andrew.abdi@protonmail.com,"Annex, Machakos",Shalom Owino,0782 666 124
Kipchoge,Akoth,ADM-1037,Grade 1,B,Male,2019-04-03,2026-11-18,Active,Doreen Akoth,Mother,0782 500 486,0740 291 194,doreen.akoth@yahoo.com,"Sakina, Kiambu",Monica Oduor,0733 756 531
Abigail,Yusuf,ADM-1038,Grade 1,B,Female,2020-10-14,2026-08-17,Active,Peter Yusuf,Father,0722 139 490,0711 748 787,peter.yusuf@yahoo.com,"Langas, Nakuru",Emily Ruto,0751 285 356
Peter,Choge,ADM-1039,Grade 1,B,Male,2019-01-06,2026-01-09,Active,Daniel Choge,Father,0701 469 587,,,"Kaptembwo, Makueni",Isaac Mpaine,0792 275 349
Joshua,Nzioka,ADM-1040,Grade 1,B,Male,2019-07-28,2026-04-15,Active,Moses Nzioka,Father,0701 410 180,,,"Donholm, Uasin Gishu",Vincent Nzioka,0782 542 227
Winnie,Suleiman,ADM-1041,Grade 1,B,Female,2020-04-21,2026-07-15,Active,Charity Suleiman,Mother,0711 491 789,0782 106 576,charity.suleiman@outlook.com,"Pioneer, Uasin Gishu",William Chepkoech,0751 831 390
John,Pekeri,ADM-1042,Grade 1,B,Male,2020-05-17,2026-02-27,Active,Alex Pekeri,Father,0701 769 209,0712 939 938,alex.pekeri@yahoo.com,"Lake View, Nairobi",Ibrahim Langat,0751 136 634
Judith,Njuguna,ADM-1043,Grade 1,B,Female,2019-04-22,2026-08-27,Active,Nathaniel Njuguna,Father,0751 910 588,0712 810 200,nathaniel.njuguna@icloud.com,"Olasiti, Machakos",Wesley Noor,0772 985 158
