Staff No,FirstName,LastName,Gender,Date of Birth,Category,Role/Designation,Department,Class Teacher Of,Subjects,Qualification,TSC No,Phone,Email,Date Employed,Years of Service,Monthly Salary (KES)
STF-001,Andreah,Smithh,Female,1975-01-15,Non-Teaching,Head Teacher,Administration,,,M.Ed (Educational Leadership),,0700885883,andreah.smithh@baptistprep.co.ke,2002-07-18,24,120000
STF-002,Jane,Wanjiru,Female,1990-04-12,Teaching,Class Teacher — Grade 1 A,Lower Primary,Grade 1 A,English; Creative Activities,B.Ed (ECDE),TSC/591373/12,0700769847,jane.wanjiru@baptistprep.co.ke,2014-06-12,12,62000
STF-003,Peter,Kipchoge,Male,1988-09-01,Teaching,Class Teacher — Grade 1 B,Lower Primary,Grade 1 B,Mathematics; Physical & Health Education,B.Ed (Mathematics),TSC/909712/14,0700595940,peter.kipchoge@baptistprep.co.ke,2012-03-01,14,68000
STF-004,Mercy,Atieno,Female,1993-11-23,Teaching,Class Teacher — Grade 1 C,Lower Primary,Grade 1 C,Kiswahili; Religious Education,Dip. Primary Teacher Education,TSC/528277/9,0700780829,mercy.atieno@baptistprep.co.ke,2017-03-04,9,52000
STF-005,Samuel,Kamau,Male,1991-02-17,Teaching,Class Teacher — Grade 2 A,Lower Primary,Grade 2 A,Mathematics; Environmental Activities,B.Ed (Primary),TSC/362347/11,0700741182,samuel.kamau@baptistprep.co.ke,2015-01-28,11,58000
STF-006,Gladys,Chebet,Female,1989-06-30,Teaching,Class Teacher — Grade 2 B,Lower Primary,Grade 2 B,English; Creative Activities,B.Ed (English),TSC/743682/13,0700893664,gladys.chebet@baptistprep.co.ke,2013-09-20,13,61000
STF-007,Dennis,Omondi,Male,1992-08-05,Teaching,Class Teacher — Grade 3 A,Lower Primary,Grade 3 A,Science & Technology; Social Studies,B.Sc (Education),TSC/506800/10,0700654942,dennis.omondi@baptistprep.co.ke,2016-12-22,10,59000
STF-008,Faith,Njeri,Female,1994-01-19,Teaching,Class Teacher — Grade 3 B,Lower Primary,Grade 3 B,Kiswahili; Religious Education,B.Ed (Kiswahili),TSC/259166/8,0700441683,faith.njeri@baptistprep.co.ke,2018-02-24,8,54000
STF-009,Brian,Kiplangat,Male,1990-12-08,Teaching,Class Teacher — Grade 4 A,Upper Primary,Grade 4 A,Mathematics; Physical & Health Education,B.Ed (Mathematics),TSC/501146/12,0700670554,brian.kiplangat@baptistprep.co.ke,2014-10-18,12,63000
STF-010,Purity,Wambui,Female,1993-05-27,Teaching,Class Teacher — Grade 4 B,Upper Primary,Grade 4 B,English; Creative Arts,B.Ed (English),TSC/557986/9,0700758221,purity.wambui@baptistprep.co.ke,2017-01-01,9,56000
