Receipt No,Admission No,Student Name,Class,Term,Year,Amount (KES),Payment Method,Reference No,Paid By,Payment Date,Recorded By
BP-2026-0001,ADM-1001,Gideon Waweru,Grade 1 A,Term 1,2026,8600,M-PESA,QWH-47483,Nathaniel Waweru,2026-02-01,Rebecca Wanjala
BP-2026-0002,ADM-1001,Gideon Waweru,Grade 1 A,Term 1,2026,8300,Cash,CSH-30249,Nathaniel Waweru,2026-02-12,Andreah Smithh
BP-2026-0003,ADM-1001,Gideon Waweru,Grade 1 A,Term 1,2026,13100,Bank Transfer,RTN-27615,Nathaniel Waweru,2026-02-22,Monica Wanjiru
BP-2026-0004,ADM-1001,Gideon Waweru,Grade 1 A,Term 2,2026,5700,Cheque,CHQ-50963,Nathaniel Waweru,2026-05-30,Rebecca Wanjala
BP-2026-0005,ADM-1001,Gideon Waweru,Grade 1 A,Term 2,2026,9300,Cash,CSH-13712,Nathaniel Waweru,2026-06-13,Monica Wanjiru
BP-2026-0006,ADM-1002,George Ndolo,Grade 1 A,Term 1,2026,10400,Cash,CSH-23187,Vincent Ndolo,2026-01-08,Rebecca Wanjala
BP-2026-0007,ADM-1002,George Ndolo,Grade 1 A,Term 1,2026,7400,Bank Transfer,RTN-90488,Vincent Ndolo,2026-02-06,Rebecca Wanjala
BP-2026-0008,ADM-1002,George Ndolo,Grade 1 A,Term 1,2026,12200,M-PESA,QWH-91683,Vincent Ndolo,2026-02-16,Andreah Smithh
BP-2026-0009,ADM-1002,George Ndolo,Grade 1 A,Term 2,2026,7500,M-PESA,QWH-58555,Vincent Ndolo,2026-05-09,Andreah Smithh
BP-2026-0010,ADM-1002,George Ndolo,Grade 1 A,Term 2,2026,2500,Cash,CSH-18216,Vincent Ndolo,2026-06-01,Andreah Smithh
BP-2026-0011,ADM-1002,George Ndolo,Grade 1 A,Term 2,2026,5000,Bank Transfer,RTN-96858,Vincent Ndolo,2026-06-19,Rebecca Wanjala
BP-2026-0012,ADM-1002,George Ndolo,Grade 1 A,Term 3,2026,5700,M-PESA,QWH-89232,Vincent Ndolo,2026-09-18,Monica Wanjiru
BP-2026-0013,ADM-1003,John Njuguna,Grade 1 A,Term 1,2026,30000,Bank Transfer,RTN-91703,Samuel Njuguna,2026-01-16,Rebecca Wanjala
BP-2026-0014,ADM-1003,John Njuguna,Grade 1 A,Term 2,2026,7100,Cash,CSH-80905,Samuel Njuguna,2026-05-11,Monica Wanjiru
BP-2026-0015,ADM-1003,John Njuguna,Grade 1 A,Term 2,2026,3200,Cheque,CHQ-65767,Samuel Njuguna,2026-05-23,Andreah Smithh
BP-2026-0016,ADM-1003,John Njuguna,Grade 1 A,Term 2,2026,4700,Bank Transfer,RTN-53609,Samuel Njuguna,2026-06-11,Andreah Smithh
BP-2026-0017,ADM-1003,John Njuguna,Grade 1 A,Term 3,2026,9000,Cash,CSH-64003,Samuel Njuguna,2026-09-13,Monica Wanjiru
BP-2026-0018,ADM-1004,Samuel Hassan,Grade 1 A,Term 1,2026,12400,M-PESA,QWH-46305,Catherine Hassan,2026-01-15,Rebecca Wanjala
BP-2026-0019,ADM-1004,Samuel Hassan,Grade 1 A,Term 1,2026,17600,M-PESA,QWH-37763,Catherine Hassan,2026-02-07,Rebecca Wanjala
BP-2026-0020,ADM-1004,Samuel Hassan,Grade 1 A,Term 2,2026,7200,Cheque,CHQ-87369,Catherine Hassan,2026-05-21,Andreah Smithh
BP-2026-0021,ADM-1004,Samuel Hassan,Grade 1 A,Term 2,2026,7800,M-PESA,QWH-73273,Catherine Hassan,2026-06-04,Monica Wanjiru
BP-2026-0022,ADM-1004,Samuel Hassan,Grade 1 A,Term 3,2026,4800,Cash,CSH-22806,Catherine Hassan,2026-09-28,Andreah Smithh
BP-2026-0023,ADM-1004,Samuel Hassan,Grade 1 A,Term 3,2026,1800,Bank Transfer,RTN-88855,Catherine Hassan,2026-10-18,Andreah Smithh
BP-2026-0024,ADM-1004,Samuel Hassan,Grade 1 A,Term 3,2026,2400,Cash,CSH-61729,Catherine Hassan,2026-11-02,Monica Wanjiru
BP-2026-0025,ADM-1005,Alice Farah,Grade 1 A,Term 1,2026,30000,M-PESA,QWH-10740,Kiplangat Farah,2026-01-13,Monica Wanjiru
BP-2026-0026,ADM-1005,Alice Farah,Grade 1 A,Term 2,2026,5800,Bank Transfer,RTN-30396,Kiplangat Farah,2026-05-25,Andreah Smithh
BP-2026-0027,ADM-1005,Alice Farah,Grade 1 A,Term 2,2026,4900,M-PESA,QWH-16060,Kiplangat Farah,2026-05-25,Andreah Smithh
BP-2026-0028,ADM-1005,Alice Farah,Grade 1 A,Term 2,2026,4300,Bank Transfer,RTN-62720,Kiplangat Farah,2026-06-12,Andreah Smithh
BP-2026-0029,ADM-1005,Alice Farah,Grade 1 A,Term 3,2026,5100,M-PESA,QWH-81226,Kiplangat Farah,2026-09-29,Monica Wanjiru
BP-2026-0030,ADM-1006,Anthony Omar,Grade 1 A,Term 1,2026,11800,M-PESA,QWH-55595,Caleb Omar,2026-01-25,Rebecca Wanjala
BP-2026-0031,ADM-1006,Anthony Omar,Grade 1 A,Term 1,2026,18200,Bank Transfer,RTN-13026,Caleb Omar,2026-02-11,Monica Wanjiru
BP-2026-0032,ADM-1006,Anthony Omar,Grade 1 A,Term 2,2026,15000,Cheque,CHQ-84292,Caleb Omar,2026-05-20,Rebecca Wanjala
BP-2026-0033,ADM-1006,Anthony Omar,Grade 1 A,Term 3,2026,2300,Cheque,CHQ-61797,Caleb Omar,2026-09-17,Monica Wanjiru
BP-2026-0034,ADM-1006,Anthony Omar,Grade 1 A,Term 3,2026,2800,Bank Transfer,RTN-44192,Caleb Omar,2026-10-09,Monica Wanjiru
BP-2026-0035,ADM-1007,Abigail Mutuku,Grade 1 A,Term 1,2026,15700,Cheque,CHQ-59524,Joshua Mutuku,2026-01-31,Monica Wanjiru
BP-2026-0036,ADM-1007,Abigail Mutuku,Grade 1 A,Term 1,2026,6700,Cheque,CHQ-37835,Joshua Mutuku,2026-02-17,Monica Wanjiru
BP-2026-0037,ADM-1007,Abigail Mutuku,Grade 1 A,Term 1,2026,7600,Cash,CSH-84742,Joshua Mutuku,2026-03-01,Monica Wanjiru
BP-2026-0038,ADM-1007,Abigail Mutuku,Grade 1 A,Term 2,2026,4700,Bank Transfer,RTN-69907,Joshua Mutuku,2026-05-28,Andreah Smithh
BP-2026-0039,ADM-1007,Abigail Mutuku,Grade 1 A,Term 2,2026,10300,Bank Transfer,RTN-12787,Joshua Mutuku,2026-06-08,Andreah Smithh
BP-2026-0040,ADM-1007,Abigail Mutuku,Grade 1 A,Term 3,2026,9000,M-PESA,QWH-42334,Joshua Mutuku,2026-10-03,Andreah Smithh
BP-2026-0041,ADM-1008,Eric Odera,Grade 1 A,Term 1,2026,8700,Bank Transfer,RTN-29316,Thomas Odera,2026-01-22,Rebecca Wanjala
BP-2026-0042,ADM-1008,Eric Odera,Grade 1 A,Term 1,2026,7800,Bank Transfer,RTN-47069,Thomas Odera,2026-02-01,Monica Wanjiru
BP-2026-0043,ADM-1008,Eric Odera,Grade 1 A,Term 1,2026,13500,M-PESA,QWH-25196,Thomas Odera,2026-02-16,Andreah Smithh
BP-2026-0044,ADM-1008,Eric Odera,Grade 1 A,Term 2,2026,16000,Cash,CSH-55635,Thomas Odera,2026-05-27,Andreah Smithh
BP-2026-0045,ADM-1008,Eric Odera,Grade 1 A,Term 3,2026,1900,Bank Transfer,RTN-43148,Thomas Odera,2026-09-11,Andreah Smithh
BP-2026-0046,ADM-1008,Eric Odera,Grade 1 A,Term 3,2026,2800,M-PESA,QWH-76324,Thomas Odera,2026-10-12,Rebecca Wanjala
BP-2026-0047,ADM-1009,Dorcas Bakari,Grade 1 A,Term 1,2026,30000,M-PESA,QWH-68217,Damaris Bakari,2026-01-21,Andreah Smithh
BP-2026-0048,ADM-1009,Dorcas Bakari,Grade 1 A,Term 2,2026,5600,M-PESA,QWH-90916,Damaris Bakari,2026-05-24,Monica Wanjiru
BP-2026-0049,ADM-1009,Dorcas Bakari,Grade 1 A,Term 2,2026,9400,Bank Transfer,RTN-14519,Damaris Bakari,2026-05-30,Monica Wanjiru
BP-2026-0050,ADM-1009,Dorcas Bakari,Grade 1 A,Term 3,2026,1300,Cash,CSH-62376,Damaris Bakari,2026-09-28,Monica Wanjiru
BP-2026-0051,ADM-1009,Dorcas Bakari,Grade 1 A,Term 3,2026,2900,Cash,CSH-24022,Damaris Bakari,2026-10-02,Monica Wanjiru
BP-2026-0052,ADM-1010,Kevin Pashua,Grade 1 A,Term 1,2026,17200,Bank Transfer,RTN-15828,Frank Pashua,2026-01-24,Andreah Smithh
BP-2026-0053,ADM-1010,Kevin Pashua,Grade 1 A,Term 1,2026,5700,Bank Transfer,RTN-85796,Frank Pashua,2026-01-29,Monica Wanjiru
BP-2026-0054,ADM-1010,Kevin Pashua,Grade 1 A,Term 1,2026,16100,Cash,CSH-41522,Frank Pashua,2026-02-10,Andreah Smithh
BP-2026-0055,ADM-1010,Kevin Pashua,Grade 1 A,Term 2,2026,12200,Bank Transfer,RTN-87201,Frank Pashua,2026-05-26,Monica Wanjiru
BP-2026-0056,ADM-1010,Kevin Pashua,Grade 1 A,Term 2,2026,12800,Cash,CSH-48639,Frank Pashua,2026-06-14,Monica Wanjiru
BP-2026-0057,ADM-1010,Kevin Pashua,Grade 1 A,Term 3,2026,8200,Cash,CSH-16520,Frank Pashua,2026-10-03,Monica Wanjiru
BP-2026-0058,ADM-1010,Kevin Pashua,Grade 1 A,Term 3,2026,8800,M-PESA,QWH-70556,Frank Pashua,2026-09-27,Monica Wanjiru
BP-2026-0059,ADM-1011,Winfred Bakari,Grade 1 A,Term 1,2026,12900,M-PESA,QWH-29078,Julius Bakari,2026-01-19,Monica Wanjiru
BP-2026-0060,ADM-1011,Winfred Bakari,Grade 1 A,Term 1,2026,5200,M-PESA,QWH-24395,Julius Bakari,2026-02-11,Andreah Smithh
BP-2026-0061,ADM-1011,Winfred Bakari,Grade 1 A,Term 1,2026,6000,M-PESA,QWH-22857,Julius Bakari,2026-02-19,Monica Wanjiru
BP-2026-0062,ADM-1011,Winfred Bakari,Grade 1 A,Term 2,2026,8700,Cheque,CHQ-90275,Julius Bakari,2026-05-18,Andreah Smithh
BP-2026-0063,ADM-1011,Winfred Bakari,Grade 1 A,Term 2,2026,10300,M-PESA,QWH-96397,Julius Bakari,2026-06-17,Rebecca Wanjala
BP-2026-0064,ADM-1012,Diana Khaemba,Grade 1 A,Term 1,2026,16900,Bank Transfer,RTN-91394,Irene Khaemba,2026-01-23,Rebecca Wanjala
BP-2026-0065,ADM-1012,Diana Khaemba,Grade 1 A,Term 1,2026,7300,Bank Transfer,RTN-30055,Irene Khaemba,2026-02-05,Rebecca Wanjala
BP-2026-0066,ADM-1012,Diana Khaemba,Grade 1 A,Term 1,2026,6700,Bank Transfer,RTN-30825,Irene Khaemba,2026-02-18,Rebecca Wanjala
BP-2026-0067,ADM-1012,Diana Khaemba,Grade 1 A,Term 1,2026,13100,Cash,CSH-18344,Irene Khaemba,2026-03-10,Monica Wanjiru
BP-2026-0068,ADM-1012,Diana Khaemba,Grade 1 A,Term 2,2026,29000,M-PESA,QWH-16045,Irene Khaemba,2026-05-18,Rebecca Wanjala
BP-2026-0069,ADM-1013,Purity Nzioka,Grade 1 A,Term 1,2026,30000,M-PESA,QWH-21352,Peter Nzioka,2026-01-20,Andreah Smithh
BP-2026-0070,ADM-1013,Purity Nzioka,Grade 1 A,Term 2,2026,15000,Cash,CSH-27340,Peter Nzioka,2026-05-24,Rebecca Wanjala
BP-2026-0071,ADM-1013,Purity Nzioka,Grade 1 A,Term 3,2026,9000,Cash,CSH-18043,Peter Nzioka,2026-09-13,Rebecca Wanjala
BP-2026-0072,ADM-1014,Eric Mutoro,Grade 1 A,Term 1,2026,7900,Bank Transfer,RTN-14776,Anthony Mutoro,2026-01-07,Andreah Smithh
BP-2026-0073,ADM-1014,Eric Mutoro,Grade 1 A,Term 1,2026,15200,Bank Transfer,RTN-94057,Anthony Mutoro,2026-01-27,Monica Wanjiru
BP-2026-0074,ADM-1014,Eric Mutoro,Grade 1 A,Term 2,2026,15000,M-PESA,QWH-75636,Anthony Mutoro,2026-05-15,Andreah Smithh
BP-2026-0075,ADM-1014,Eric Mutoro,Grade 1 A,Term 3,2026,3500,Bank Transfer,RTN-22847,Anthony Mutoro,2026-09-26,Monica Wanjiru
BP-2026-0076,ADM-1014,Eric Mutoro,Grade 1 A,Term 3,2026,2500,M-PESA,QWH-75501,Anthony Mutoro,2026-09-29,Rebecca Wanjala
BP-2026-0077,ADM-1014,Eric Mutoro,Grade 1 A,Term 3,2026,3000,Cheque,CHQ-95673,Anthony Mutoro,2026-11-03,Andreah Smithh
BP-2026-0078,ADM-1015,Yvonne Kariuki,Grade 1 A,Term 1,2026,30000,M-PESA,QWH-11468,Frank Kariuki,2026-02-02,Rebecca Wanjala
