Admission No,Student Name,Class,Term,Year,Subject,Score,Grade,Class Rank,Teacher Comment
ADM-1001,Gideon Waweru,Grade 1 A,Term 1,2026,English,72,B+,14,Steady progress. Do more revision.
ADM-1001,Gideon Waweru,Grade 1 A,Term 1,2026,Kiswahili,80,A,7,Average. Put more effort into homework.
ADM-1001,Gideon Waweru,Grade 1 A,Term 1,2026,Mathematics,72,B+,14,Very good performance. Focus on the few weak areas.
ADM-1001,Gideon Waweru,Grade 1 A,Term 1,2026,Environmental Activities,88,A,3,Good effort. Can improve with more practice.
ADM-1001,Gideon Waweru,Grade 1 A,Term 1,2026,Religious Education,82,A,8,Very good performance. Focus on the few weak areas.
ADM-1001,Gideon Waweru,Grade 1 A,Term 1,2026,Creative Activities,87,A,4,Below average. Extra tuition recommended.
ADM-1001,Gideon Waweru,Grade 1 A,Term 1,2026,Physical & Health Education,66,B,24,Excellent work. Keep it up!
ADM-1002,George Ndolo,Grade 1 A,Term 1,2026,English,68,B,22,Good effort. Can improve with more practice.
ADM-1002,George Ndolo,Grade 1 A,Term 1,2026,Kiswahili,75,A-,15,Very good performance. Focus on the few weak areas.
ADM-1002,George Ndolo,Grade 1 A,Term 1,2026,Mathematics,53,C,30,Satisfactory. Needs consistent practice.
ADM-1002,George Ndolo,Grade 1 A,Term 1,2026,Environmental Activities,62,B-,24,Excellent work. Keep it up!
ADM-1002,George Ndolo,Grade 1 A,Term 1,2026,Religious Education,80,A,10,Performs well under guidance. Keep practising.
ADM-1002,George Ndolo,Grade 1 A,Term 1,2026,Creative Activities,81,A,6,Excellent work. Keep it up!
ADM-1002,George Ndolo,Grade 1 A,Term 1,2026,Physical & Health Education,66,B,25,Satisfactory. Needs consistent practice.
ADM-1003,John Njuguna,Grade 1 A,Term 1,2026,English,62,B-,29,Excellent work. Keep it up!
ADM-1003,John Njuguna,Grade 1 A,Term 1,2026,Kiswahili,63,B-,27,Excellent work. Keep it up!
ADM-1003,John Njuguna,Grade 1 A,Term 1,2026,Mathematics,48,C-,31,Good effort. Can improve with more practice.
ADM-1003,John Njuguna,Grade 1 A,Term 1,2026,Environmental Activities,62,B-,25,Good effort. Can improve with more practice.
ADM-1003,John Njuguna,Grade 1 A,Term 1,2026,Religious Education,53,C,32,Good effort. Can improve with more practice.
ADM-1003,John Njuguna,Grade 1 A,Term 1,2026,Creative Activities,40,D+,34,Lacks interest; encourage reading at home.
ADM-1003,John Njuguna,Grade 1 A,Term 1,2026,Physical & Health Education,43,D+,34,Struggles with this subject. Seek remedial help.
ADM-1004,Samuel Hassan,Grade 1 A,Term 1,2026,English,66,B,27,Average. Put more effort into homework.
ADM-1004,Samuel Hassan,Grade 1 A,Term 1,2026,Kiswahili,77,A-,13,Performs well under guidance. Keep practising.
ADM-1004,Samuel Hassan,Grade 1 A,Term 1,2026,Mathematics,66,B,20,Good effort. Can improve with more practice.
ADM-1004,Samuel Hassan,Grade 1 A,Term 1,2026,Environmental Activities,71,B+,18,Average. Put more effort into homework.
ADM-1004,Samuel Hassan,Grade 1 A,Term 1,2026,Religious Education,82,A,9,Very good performance. Focus on the few weak areas.
ADM-1004,Samuel Hassan,Grade 1 A,Term 1,2026,Creative Activities,70,B+,20,Good effort. Can improve with more practice.
ADM-1004,Samuel Hassan,Grade 1 A,Term 1,2026,Physical & Health Education,70,B+,21,Steady progress. Do more revision.
ADM-1005,Alice Farah,Grade 1 A,Term 1,2026,English,86,A,4,Needs significant improvement. Revise earlier topics.
ADM-1005,Alice Farah,Grade 1 A,Term 1,2026,Kiswahili,75,A-,16,Good effort. Can improve with more practice.
ADM-1005,Alice Farah,Grade 1 A,Term 1,2026,Mathematics,83,A,5,Excellent work. Keep it up!
ADM-1005,Alice Farah,Grade 1 A,Term 1,2026,Environmental Activities,ABS,ABS,,Absent for the examination.
ADM-1005,Alice Farah,Grade 1 A,Term 1,2026,Religious Education,74,B+,14,Excellent work. Keep it up!
ADM-1005,Alice Farah,Grade 1 A,Term 1,2026,Creative Activities,66,B,26,Very good performance. Focus on the few weak areas.
ADM-1005,Alice Farah,Grade 1 A,Term 1,2026,Physical & Health Education,66,B,26,Steady progress. Do more revision.
ADM-1006,Anthony Omar,Grade 1 A,Term 1,2026,English,67,B,25,Excellent work. Keep it up!
ADM-1006,Anthony Omar,Grade 1 A,Term 1,2026,Kiswahili,83,A,5,Satisfactory. Needs consistent practice.
ADM-1006,Anthony Omar,Grade 1 A,Term 1,2026,Mathematics,68,B,18,Very good performance. Focus on the few weak areas.
ADM-1006,Anthony Omar,Grade 1 A,Term 1,2026,Environmental Activities,79,A-,9,Shows understanding of key concepts.
ADM-1006,Anthony Omar,Grade 1 A,Term 1,2026,Religious Education,71,B+,17,Very good performance. Focus on the few weak areas.
ADM-1006,Anthony Omar,Grade 1 A,Term 1,2026,Creative Activities,77,A-,8,Shows understanding of key concepts.
ADM-1006,Anthony Omar,Grade 1 A,Term 1,2026,Physical & Health Education,83,A,5,Excellent work. Keep it up!
