Date,Admission No,Student Name,Class,Status,Reason
2026-01-05,ADM-1001,Gideon Waweru,Grade 1 A,LATE,REPORTED LATE
2026-01-05,ADM-1002,George Ndolo,Grade 1 A,PRESENT,
2026-01-05,ADM-1003,John Njuguna,Grade 1 A,PRESENT,
2026-01-05,ADM-1004,Samuel Hassan,Grade 1 A,PRESENT,
2026-01-05,ADM-1005,Alice Farah,Grade 1 A,PRESENT,
2026-01-05,ADM-1006,Anthony Omar,Grade 1 A,PRESENT,
2026-01-05,ADM-1007,Abigail Mutuku,Grade 1 A,PRESENT,
2026-01-05,ADM-1008,Eric Odera,Grade 1 A,PRESENT,
2026-01-05,ADM-1009,Dorcas Bakari,Grade 1 A,PRESENT,
2026-01-05,ADM-1010,Kevin Pashua,Grade 1 A,PRESENT,
2026-01-05,ADM-1011,Winfred Bakari,Grade 1 A,PRESENT,
2026-01-05,ADM-1012,Diana Khaemba,Grade 1 A,PRESENT,
2026-01-05,ADM-1013,Purity Nzioka,Grade 1 A,PRESENT,
2026-01-05,ADM-1014,Eric Mutoro,Grade 1 A,PRESENT,
2026-01-05,ADM-1015,Yvonne Kariuki,Grade 1 A,PRESENT,
2026-01-05,ADM-1016,John Lugalia,Grade 1 A,PRESENT,
2026-01-05,ADM-1017,Fridah Oluoch,Grade 1 A,PRESENT,
2026-01-05,ADM-1018,Charity Sichangi,Grade 1 A,PRESENT,
2026-01-05,ADM-1019,Stephen Kinyua,Grade 1 A,PRESENT,
2026-01-05,ADM-1020,James Mganga,Grade 1 A,PRESENT,
2026-01-05,ADM-1021,Brenda Oduor,Grade 1 A,PRESENT,
2026-01-05,ADM-1022,Kiplangat Wafula,Grade 1 A,PRESENT,
2026-01-05,ADM-1023,Karen Makokha,Grade 1 A,PRESENT,
2026-01-05,ADM-1024,Tabitha Ndungu,Grade 1 A,PRESENT,
2026-01-05,ADM-1025,Mark Kioko,Grade 1 A,PRESENT,
2026-01-05,ADM-1026,Eric Obiero,Grade 1 A,PRESENT,
2026-01-05,ADM-1027,Michael Ndolo,Grade 1 A,PRESENT,
2026-01-05,ADM-1028,Lawrence Chemtai,Grade 1 A,PRESENT,
2026-01-05,ADM-1029,Emmanuel Njenga,Grade 1 A,PRESENT,
2026-01-05,ADM-1030,Yvonne Karanja,Grade 1 A,PRESENT,
2026-01-05,ADM-1031,Yvonne Njeri,Grade 1 A,PRESENT,
2026-01-05,ADM-1032,Esther Mutiso,Grade 1 A,PRESENT,
2026-01-05,ADM-1033,Daniel Noor,Grade 1 A,PRESENT,
2026-01-05,ADM-1034,Alice Metto,Grade 1 A,ABSENT,TRAVEL
2026-01-05,ADM-1035,Maureen Muthoka,Grade 1 B,PRESENT,
2026-01-05,ADM-1036,Alice Abdi,Grade 1 B,PRESENT,
2026-01-05,ADM-1037,Kipchoge Akoth,Grade 1 B,PRESENT,
2026-01-05,ADM-1038,Abigail Yusuf,Grade 1 B,PRESENT,
2026-01-05,ADM-1039,Peter Choge,Grade 1 B,PRESENT,
2026-01-05,ADM-1040,Joshua Nzioka,Grade 1 B,PRESENT,
2026-01-05,ADM-1041,Winnie Suleiman,Grade 1 B,PRESENT,
2026-01-05,ADM-1042,John Pekeri,Grade 1 B,PRESENT,
2026-01-05,ADM-1043,Judith Njuguna,Grade 1 B,PRESENT,
2026-01-05,ADM-1044,Joyce Mutoro,Grade 1 B,PRESENT,
2026-01-05,ADM-1045,Yvonne Choge,Grade 1 B,PRESENT,
2026-01-05,ADM-1046,Timothy Khisa,Grade 1 B,PRESENT,
2026-01-05,ADM-1047,Charles Njeru,Grade 1 B,PRESENT,
2026-01-05,ADM-1048,Vincent Wamalwa,Grade 1 B,PRESENT,
2026-01-05,ADM-1049,Isaac Mwirigi,Grade 1 B,PRESENT,
2026-01-05,ADM-1050,David Kaelo,Grade 1 B,PRESENT,
2026-01-05,ADM-1051,Purity Kioko,Grade 1 B,PRESENT,
2026-01-05,ADM-1052,Thomas Korir,Grade 1 B,PRESENT,
2026-01-05,ADM-1053,Zachary Omollo,Grade 1 B,PRESENT,
2026-01-05,ADM-1054,Sharon Kombo,Grade 1 B,PRESENT,
2026-01-05,ADM-1055,Luke Bunoro,Grade 1 B,PRESENT,
2026-01-05,ADM-1056,Dorcas Nassor,Grade 1 B,PRESENT,
2026-01-05,ADM-1057,Wesley Bakari,Grade 1 B,PRESENT,
2026-01-05,ADM-1058,Winfred Odera,Grade 1 B,PRESENT,
2026-01-05,ADM-1059,Trevor Syombua,Grade 1 B,PRESENT,
2026-01-05,ADM-1060,Nancy Musalia,Grade 1 B,PRESENT,
2026-01-05,ADM-1061,Eric Chepkirui,Grade 1 B,PRESENT,
2026-01-05,ADM-1062,Faith Owino,Grade 1 B,PRESENT,
2026-01-05,ADM-1063,Julia Kaelo,Grade 1 B,PRESENT,
2026-01-05,ADM-1064,Andrew Suleiman,Grade 1 B,PRESENT,
2026-01-05,ADM-1065,Julius Mutiso,Grade 1 B,PRESENT,
2026-01-05,ADM-1066,Nancy Abdi,Grade 1 B,PRESENT,
2026-01-05,ADM-1067,Joyce Kitonga,Grade 1 B,PRESENT,
2026-01-05,ADM-1068,Brenda Adan,Grade 1 C,PRESENT,
2026-01-05,ADM-1069,Purity Mwende,Grade 1 C,PRESENT,
2026-01-05,ADM-1070,Judith Khisa,Grade 1 C,PRESENT,
2026-01-05,ADM-1071,Stephen Wekesa,Grade 1 C,PRESENT,
2026-01-05,ADM-1072,Martin Bunoro,Grade 1 C,PRESENT,
2026-01-05,ADM-1073,Cynthia Zawadi,Grade 1 C,PRESENT,
2026-01-05,ADM-1074,Hillary Njenga,Grade 1 C,PRESENT,
2026-01-05,ADM-1075,Amara Mugambi,Grade 1 C,PRESENT,
2026-01-05,ADM-1076,Charles Kigen,Grade 1 C,LATE,REPORTED LATE
2026-01-05,ADM-1077,David Wanjala,Grade 1 C,PRESENT,
2026-01-05,ADM-1078,Lawrence Ciawi,Grade 1 C,PRESENT,
2026-01-05,ADM-1079,Benjamin Okello,Grade 1 C,PRESENT,
2026-01-05,ADM-1080,Samuel Sironka,Grade 1 C,PRESENT,
2026-01-05,ADM-1081,Nicholas Makokha,Grade 1 C,PRESENT,
2026-01-05,ADM-1082,Rebecca Ndolo,Grade 1 C,PRESENT,
2026-01-05,ADM-1083,William Masinde,Grade 1 C,ABSENT,OTHER
2026-01-05,ADM-1084,Victor Maina,Grade 1 C,PRESENT,
2026-01-05,ADM-1085,Mercy Mburu,Grade 1 C,PRESENT,
2026-01-05,ADM-1086,Timothy Kaelo,Grade 1 C,PRESENT,
2026-01-05,ADM-1087,Dorcas Mwinyi,Grade 1 C,PRESENT,
2026-01-05,ADM-1088,Frank Ndungu,Grade 1 C,PRESENT,
2026-01-05,ADM-1089,Faith Githinji,Grade 1 C,PRESENT,
2026-01-05,ADM-1090,Alex Akoth,Grade 1 C,PRESENT,
2026-01-05,ADM-1091,Nathaniel Wekesa,Grade 1 C,PRESENT,
2026-01-05,ADM-1092,Olivia Pekeri,Grade 1 C,PRESENT,
2026-01-05,ADM-1093,Winfred Muthoka,Grade 1 C,PRESENT,
2026-01-05,ADM-1094,Nicholas Namukuru,Grade 1 C,PRESENT,
2026-01-05,ADM-1095,Faith Mutua,Grade 1 C,LATE,REPORTED LATE
2026-01-05,ADM-1096,Nancy Nandwa,Grade 1 C,PRESENT,
2026-01-05,ADM-1097,Judith Kosgei,Grade 1 C,PRESENT,
2026-01-05,ADM-1098,John Metto,Grade 1 C,PRESENT,
2026-01-05,ADM-1099,Dorcas Karanja,Grade 1 C,PRESENT,
2026-01-05,ADM-1100,Faith Choge,Grade 1 C,PRESENT,
2026-01-05,ADM-1101,Eric Musyoka,Grade 2 A,PRESENT,
2026-01-05,ADM-1102,Elijah Natepo,Grade 2 A,PRESENT,
2026-01-05,ADM-1103,Alex Tanui,Grade 2 A,ABSENT,FUNERAL
2026-01-05,ADM-1104,Emmanuel Ndolo,Grade 2 A,PRESENT,
2026-01-05,ADM-1105,Magdalene Mpaine,Grade 2 A,PRESENT,
2026-01-05,ADM-1106,Gideon Tanui,Grade 2 A,PRESENT,
2026-01-05,ADM-1107,Rachael Kiprop,Grade 2 A,PRESENT,
2026-01-05,ADM-1108,Harrison Kioko,Grade 2 A,PRESENT,
2026-01-05,ADM-1109,Tabitha Bunoro,Grade 2 A,PRESENT,
2026-01-05,ADM-1110,Andrew Leshan,Grade 2 A,PRESENT,
2026-01-05,ADM-1111,Samuel Nzioka,Grade 2 A,PRESENT,
2026-01-05,ADM-1112,Diana Njeri,Grade 2 A,PRESENT,
2026-01-05,ADM-1113,Joyce Njoroge,Grade 2 A,PRESENT,
2026-01-05,ADM-1114,Fridah Kimeu,Grade 2 A,PRESENT,
2026-01-05,ADM-1115,Caleb Kioko,Grade 2 A,PRESENT,
2026-01-05,ADM-1116,Hillary Odhiambo,Grade 2 A,PRESENT,
2026-01-05,ADM-1117,Martin Zawadi,Grade 2 A,PRESENT,
2026-01-05,ADM-1118,Alex Mwangi,Grade 2 A,PRESENT,
2026-01-05,ADM-1119,Sharon Githinji,Grade 2 A,PRESENT,
2026-01-05,ADM-1120,Shalom Syombua,Grade 2 A,LATE,REPORTED LATE
2026-01-05,ADM-1121,Faith Omar,Grade 2 A,PRESENT,
